cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dp14H07,nMGE.24.LHX8.GRIA2,06fec640-4ce3-406f-8765-0c5e92a577be
D26Dp14H09,nMGE.24.LHX8.GRIA2,411a38a8-37c2-40a7-954b-f2a19e454941
D26Dp28A04,nMGE.24.LHX8.GRIA2,38bfd968-82a1-4739-90ff-ae9078eb2410
D26Dp28A08,nMGE.24.LHX8.GRIA2,5e22a716-85cc-4e42-9ce2-b540220c2890
D26Dp28A09,nMGE.24.LHX8.GRIA2,0b5e3151-1195-4b88-8047-5b4ed8ef38d4
D26Dp28B01,nMGE.24.LHX8.GRIA2,de5c8458-f112-43e2-a387-6c19d335b603
D26Dp28B02,nMGE.24.LHX8.GRIA2,6c42d0d3-db8e-48e0-a126-65ac2222e29c
D26Dp28B06,nMGE.24.LHX8.GRIA2,05e60b3a-714f-4013-b781-38a2f19460e8
D26Dp28B07,nMGE.24.LHX8.GRIA2,df1f41da-a609-40e7-aafc-079686f4b5a4
D26Dp28B08,nMGE.24.LHX8.GRIA2,11da52f5-e574-4e2b-a756-d344419029a4
D26Dp28B10,nMGE.24.LHX8.GRIA2,4733aeb3-c2c4-4d1d-be5f-ba0fcf943f96
D26Dp28C07,nMGE.24.LHX8.GRIA2,78df1b6d-0c43-40e0-93fc-bc260645530b
D26Dp28C08,nMGE.24.LHX8.GRIA2,65758d27-7e3f-4e30-9fe7-367475ee0844
D26Dp28C10,nMGE.24.LHX8.GRIA2,f1e64faa-0294-46f0-b960-7c6c99eae1f7
D26Dp28D04,nMGE.24.LHX8.GRIA2,d68d5c6d-4f57-4aa5-9a6c-f81f3708b1f4
D26Dp28D05,nMGE.24.LHX8.GRIA2,a5e78ed1-9d74-4e4f-99b0-f7329fcee535
D26Dp28D06,nMGE.24.LHX8.GRIA2,2b958fd0-4648-4f08-97bb-c662d87be060
D26Dp28D08,nMGE.24.LHX8.GRIA2,36554c41-4a11-43d5-8594-6d1c02c1473a
D26Dp28D09,nMGE.24.LHX8.GRIA2,bc23d260-ecc1-4450-a41b-eb93f2814d55
D26Dp28E03,nMGE.24.LHX8.GRIA2,addbdca8-91c1-4422-96f6-e3b62f8d169d
D26Dp28E10,nMGE.24.LHX8.GRIA2,bede97b6-64fa-4656-b2d6-0421ec9aedaf
D26Dp28E11,nMGE.24.LHX8.GRIA2,2b1d9e45-f6bd-4194-a210-a51e160cb4f2
D26Dp28F04,nMGE.24.LHX8.GRIA2,869c0bf0-b038-44f8-bcf1-2abf1a571044
D26Dp28F06,nMGE.24.LHX8.GRIA2,c9c68e06-257e-4bfb-bc27-c4256c0db098
D26Dp28F09,nMGE.24.LHX8.GRIA2,3219c9b0-2930-4271-b798-ee5b941a3978
D26Dp28F10,nMGE.24.LHX8.GRIA2,68acfc14-1d36-4c0e-850d-d1a40cb8ac63
D26Dp28G01,nMGE.24.LHX8.GRIA2,8d554eef-cd48-4d17-92b2-c16e0590d856
D26Dp28G02,nMGE.24.LHX8.GRIA2,60f1df7c-8493-43cc-861a-936f5205c9fc
D26Dp28H01,nMGE.24.LHX8.GRIA2,fd0ef850-bbfb-4769-a771-07f437c3d632
D26Dp28H10,nMGE.24.LHX8.GRIA2,a952435f-2cdc-439e-a17f-09883a0c9f5a
D54Dp9A07,nMGE.54.CFC1,6547ff9a-86cb-4074-8404-fc2df6e60908
D54Dp9A11,nMGE.54.CFC1,7ae312d4-b3da-4612-b1cf-d2c1e537227d
D54Dp9B03,nMGE.54.CFC1,b4dccb6c-478a-4b56-96e0-8853dc7d123b
D54Dp9B04,nMGE.54.CFC1,ee16950c-41d8-42fb-bea6-b692dee1ee36
D54Dp9C01,nMGE.54.CFC1,eed50289-a6e1-4b7c-b0f4-ec0f4d07aa73
D54Dp9C05,nMGE.54.CFC1,d5d4827a-365e-4ba1-b508-507368e82250
D54Dp9C09,nMGE.54.CFC1,01a58228-3140-4359-accc-44373ebe26fd
D54Dp9C10,nMGE.54.CFC1,94cac49c-e624-4ec9-9f58-04e565670152
D54Dp9C11,nMGE.54.CFC1,21dd2cd6-5c28-4e01-bd40-f72a7d58521c
D54Dp9D11,nMGE.54.CFC1,0133951e-6e0e-4dba-8df9-ffeeb7d44e2c
D54Dp9G04,nMGE.54.CFC1,0cd2b0f5-1a47-4405-95d2-7ee5d7ba0a6a
D54Dp9G07,nMGE.54.CFC1,69293da1-1599-4bd7-af1a-bf3b0e7af63f
D54Dp9H01,nMGE.54.CFC1,24c3dbaa-98e1-4cb1-8614-66e89c19741e
D54Dp9H02,nMGE.54.CFC1,155ea67a-9ade-4085-a471-c2b3ae3cfce2
D54Dp12A01,nMGE.54.CFC1,31191864-1610-4d69-b582-19fb68586ecd
D54Dp12A06,nMGE.54.CFC1,af8905de-745b-438e-8ca1-a7f8e076c48c
D54Dp12B10,nMGE.54.CFC1,90d3ad93-aad6-416b-bd3b-65e5e4c7e836
D54Dp12C10,nMGE.54.CFC1,ade6acec-fe51-4bb9-a8d0-370f0a2a097f
D54Dp12D06,nMGE.54.CFC1,a9059720-1e38-48d7-b24f-5e554b52eaa3
D54Dp12D09,nMGE.54.CFC1,7bd17153-360e-45f2-952f-49a708c3cef5
D54Dp12D10,nMGE.54.CFC1,a42e16fe-25e8-4009-8bdd-de779d96d25e
D54Dp12F03,nMGE.54.CFC1,92eb1385-0480-44f5-beab-5eff56786fec
D54Dp12F11,nMGE.54.CFC1,499b4f63-7cbd-4248-8ddc-6acbece5b88e
D54Dp12G01,nMGE.54.CFC1,80ba965a-0a24-48ae-883d-bed824d15bb4
D54Dp12G09,nMGE.54.CFC1,b162eb93-69c4-4ab9-9665-77fdd06f70f0
D54Dp12H01,nMGE.54.CFC1,fcc23ca0-8f44-4cfa-b8b1-77640130c2fe
D54Dp18A04,nMGE.54.CFC1,74e05bc3-5d53-4062-930d-6991e23c3898
D54Dp18B04,nMGE.54.CFC1,5cc490fd-cd62-48c0-83aa-04390eb5dd90
D54Dp18B08,nMGE.54.CFC1,dc3f0973-237b-4b7e-998e-06ddf048fbc4
D54Dp18C08,nMGE.54.CFC1,4febd4c9-bc5c-4a24-b26d-f9cf9f01d220
D54Dp18D07,nMGE.54.CFC1,06ffda2c-4763-433c-9b99-1f8f3c476e12
D54Dp18D11,nMGE.54.CFC1,346c71ce-2f2b-433c-9ceb-b267222c0154
