cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_4_92,73390074-e5f1-4daa-9b16-01e7f597ca16,T cell,CL:0000084,T cell
24088_4_134,3443a76a-531e-480a-a4c4-92f228d95ff1,T cell,CL:0000084,T cell
24088_3_91,808f43e2-76fc-496e-97ab-61b7181164e2,monocyte,CL:0000576,monocyte
24088_6_371,ff239ed2-afd7-4612-8da5-642577e178cb,T cell,CL:0000084,T cell
24088_3_132,3c0e47e6-ff66-4f25-947d-2f097a6c6823,monocyte,CL:0000576,monocyte
24088_3_147,cfe87e95-80d4-4fff-a108-be5e7a9c914b,T cell,CL:0000084,T cell
24088_3_245,6f686102-3782-46ad-85c1-3a52c8eee597,T cell,CL:0000084,T cell
24088_3_277,2b1731ae-f8d7-429d-a5fe-fe4da138fb0b,T cell,CL:0000084,T cell
24088_3_113,c24de527-2d7d-4ec6-bcc4-984368d92b70,monocyte,CL:0000576,monocyte
24088_5_74,70f0643f-74bb-4c7f-8b7b-945b1c1caf02,T cell,CL:0000084,T cell
24088_5_310,a1be7433-b711-41b0-9d0e-fcaddc61921d,monocyte,CL:0000576,monocyte
24088_5_68,e4862a2a-bdef-4a59-88a6-e3b5ac9279b6,T cell,CL:0000084,T cell
24088_6_177,2988f836-e40c-4300-ae4e-60a8c380fe47,CD16- natural killer cell,CL:0000938,"CD16-negative, CD56-bright natural killer cell"
24088_6_295,bd98898a-d6db-484c-815e-68b08ed06ccf,T cell,CL:0000084,T cell
24088_6_250,a4f0fb56-6684-4629-963d-c4b4d716889b,monocyte,CL:0000576,monocyte
24088_3_155,8409347f-5f57-4f2f-a1a8-c8c037fc3ad7,conventional dendritic cell,CL:0000990,conventional dendritic cell
24088_5_209,b5cb30d1-a2ae-43c6-ad5a-eefd6fe33dd2,T cell,CL:0000084,T cell
24088_3_56,95fdaa3a-57c2-4287-8180-0c7bf7930d52,T cell,CL:0000084,T cell
24088_6_290,c86e955c-758f-4491-8964-7ce19ad52ca9,T cell,CL:0000084,T cell
24088_3_301,da91f767-d6ae-4e6a-a0c3-773764529939,T cell,CL:0000084,T cell
24088_5_108,809f3a70-bc32-4584-8788-f7e0e9a2f609,granulocyte,CL:0000094,granulocyte
24088_3_368,639bf56e-2e2f-48f9-accc-f4b2ca5e2117,T cell,CL:0000084,T cell
24088_3_8,a1f7a7ab-de3a-4ab9-bfe3-30b3716306c4,T cell,CL:0000084,T cell
24088_6_228,80844689-7d1c-42b8-9a36-06375e6eebc0,monocyte,CL:0000576,monocyte
24088_6_243,2442bfcb-5696-4ebb-a8eb-7f71bbc0b000,T cell,CL:0000084,T cell
24088_3_89,0fb47935-d797-4aec-9d71-19f3f3d19d76,monocyte,CL:0000576,monocyte
24088_6_205,326c868b-b373-4501-b51c-c05a9e42e708,monocyte,CL:0000576,monocyte
24088_5_321,19ffff1c-63ae-4f58-945c-44d294885f3a,T cell,CL:0000084,T cell
24088_6_235,ee3dc2c5-1f3e-41bd-9870-1b6347660524,monocyte,CL:0000576,monocyte
24088_5_291,550429e0-2249-4261-9f47-d31e16c25733,monocyte,CL:0000576,monocyte
24088_3_65,4443773f-88d2-4030-a395-4abcb1b244bf,monocyte,CL:0000576,monocyte
24088_6_55,c2c09de7-afc8-4e0b-8b98-151381d26d76,T cell,CL:0000084,T cell
24088_3_2,0748a7ef-874e-4e29-b4b1-0e94d1eff9ce,T cell,CL:0000084,T cell
24088_3_219,c3707d15-cc6b-4fee-8d58-56db4d68957b,T cell,CL:0000084,T cell
24088_5_184,7f6477fb-a6e7-4d79-8be5-b282a17c7c45,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_4_140,8474d4fc-90b9-438b-99e2-1b94b4ac6be7,T cell,CL:0000084,T cell
24088_5_246,5715709c-526f-4a72-8547-b5372168a31c,monocyte,CL:0000576,monocyte
24088_6_193,5a6eb909-9900-41db-8bcf-0d9776190212,T cell,CL:0000084,T cell
24088_6_173,3c1a6bc0-5bf0-4e5b-ad00-88f3df030a6e,T cell,CL:0000084,T cell
24088_6_201,eea167af-630d-4594-8e4a-8cdada8ece27,T cell,CL:0000084,T cell
24088_6_34,501bdd89-6cf1-4346-bd5c-0e19ff45183f,T cell,CL:0000084,T cell
24088_6_206,5d88f9d5-92e2-468b-a443-060d1d0ea92c,monocyte,CL:0000576,monocyte
24088_5_3,de454876-d041-4984-ad94-d0177d0c322a,T cell,CL:0000084,T cell
24088_3_375,1c34f0b9-ee44-434e-822c-4d4fa6ec94bd,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_4_115,840432cf-7075-4777-8996-d5438be90416,T cell,CL:0000084,T cell
24088_3_85,7b001ddb-f04e-4911-87fd-aa53356e73a6,monocyte,CL:0000576,monocyte
24088_5_372,9123278e-fc1a-4dae-909e-d1cec96e5134,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_3_343,c8b15621-8f79-4f12-8d49-773332541e23,T cell,CL:0000084,T cell
24088_4_96,a0d4ce42-4d30-4e1d-9e50-5ba727732842,NA,NA,NA
24088_4_1,a7bd2034-c999-44f2-87e2-864a2d22bf7a,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_6_152,2d29c286-f0f2-474f-8316-1218fa623487,T cell,CL:0000084,T cell
24088_5_295,a3d2bc0f-1dcb-4ba4-a13d-cae463e45bc5,monocyte,CL:0000576,monocyte
24088_5_131,d02d2c39-5ac2-4b43-a693-071ab0ef0b60,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_3_334,5d09d2c2-1eb9-4ed8-bd99-cef314561e77,T cell,CL:0000084,T cell
24088_3_377,ed9bfaf9-86f5-4983-8814-5ed2950fd9ad,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_3_6,bf776b0e-a8e8-41fa-8286-815755cf1591,T cell,CL:0000084,T cell
24088_5_218,d2e6850d-fbc5-4d11-8332-4a3df13c481a,monocyte,CL:0000576,monocyte
24088_5_189,f9e4955c-e5b3-4f9d-99ad-3b0e3321fc2a,NA,NA,NA
24088_3_35,5627409f-04a7-477f-bb66-19785d8b13b0,monocyte,CL:0000576,monocyte
24088_6_198,c41209b3-307e-40de-9f0b-18eb70d3cc41,T cell,CL:0000084,T cell
24088_4_187,2203a599-d0b9-4200-9ba7-f19aaf9b9b4f,T cell,CL:0000084,T cell
24088_5_224,d451cf70-7077-44f6-88d8-7cfa0c06cb40,monocyte,CL:0000576,monocyte
24088_6_366,3e2de46a-ca0f-49fd-85e6-6b3ec8e8ab7e,T cell,CL:0000084,T cell
24088_6_59,96d8ca97-5cb2-4480-8bdd-ac078b2c2cb6,monocyte,CL:0000576,monocyte
24088_6_179,466379b3-d0cf-4804-bc95-43600daf8147,plasma cell,CL:0000786,plasma cell
24088_5_19,200912d1-0d7e-4d0f-bc32-9444258d9dde,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_3_290,86d1f806-1fc2-403b-b007-fd6b2aef5feb,NA,NA,NA
24088_4_132,8947f06f-3221-4a6a-ad7e-20697fffb5d3,T cell,CL:0000084,T cell
